"sales_id","tanggal","hari","bulan","tahun","kuartal","product_name","category","customer_name","payment_method","quantity","unit_price","total_price","review_rating"
"827","2025-05-22","22","5","2025","2","Chair","Office Supplies","Customer C1157","Online","5",NULL,"3478.20","5"
"863","2023-12-04","4","12","2023","4","Chair","Office Supplies","Customer C8639","Online","4",NULL,"1319.64","4"
"982","2024-05-02","2","5","2024","2","Chair","Office Supplies","Customer C4771","Online","5",NULL,"3878.95","4"
"1015","2023-02-07","7","2","2023","1","Chair","Office Supplies","Customer C3699","Online","2",NULL,"909.22","5"
"1030","2024-04-07","7","4","2024","2","Chair","Office Supplies","Customer C2904","Online","4",NULL,"1453.24","4"
"1082","2023-08-13","13","8","2023","3","Chair","Office Supplies","Customer C6181","Online","4",NULL,"1108.00","4"
"1122","2024-08-04","4","8","2024","3","Chair","Office Supplies","Customer C1524","Online","1",NULL,"659.76","1"
"1185","2025-06-14","14","6","2025","2","Chair","Office Supplies","Customer C5608","Online","6",NULL,"3132.84","5"
"1273","2025-03-23","23","3","2025","1","Chair","Office Supplies","Customer C6426","Online","5",NULL,"2232.95","2"
"1274","2024-05-18","18","5","2024","2","Chair","Office Supplies","Customer C7600","Online","4",NULL,"894.52","1"
"1305","2024-08-09","9","8","2024","3","Chair","Office Supplies","Customer C4204","Online","5",NULL,"2301.25","2"
"1323","2025-02-01","1","2","2025","1","Chair","Office Supplies","Customer C2621","Online","2",NULL,"1481.04","5"
"1364","2023-07-01","1","7","2023","3","Chair","Office Supplies","Customer C4971","Online","3",NULL,"295.86","1"
"1377","2023-01-17","17","1","2023","1","Chair","Office Supplies","Customer C9268","Online","3",NULL,"599.58","2"
"1381","2024-02-06","6","2","2024","1","Chair","Office Supplies","Customer C2188","Online","3",NULL,"323.19","5"
"1422","2024-11-17","17","11","2024","4","Chair","Office Supplies","Customer C3477","Online","1",NULL,"776.01","2"
"1474","2024-05-12","12","5","2024","2","Chair","Office Supplies","Customer C9853","Online","4",NULL,"1440.92","4"
"1486","2024-04-19","19","4","2024","2","Chair","Office Supplies","Customer C4605","Online","8",NULL,"3096.80","5"
"1500","2025-05-05","5","5","2025","2","Chair","Office Supplies","Customer C1043","Online","1",NULL,"743.33","1"
"1513","2023-03-08","8","3","2023","1","Chair","Office Supplies","Customer C9390","Online","3",NULL,"2080.38","5"
"1568","2025-01-11","11","1","2025","1","Chair","Office Supplies","Customer C6256","Online","7",NULL,"4311.30","4"
"1606","2023-05-05","5","5","2023","2","Chair","Office Supplies","Customer C5538","Online","7",NULL,"2888.83","4"
"1630","2023-11-21","21","11","2023","4","Chair","Office Supplies","Customer C8575","Online","7",NULL,"3895.78","4"
"1677","2025-04-08","8","4","2025","2","Chair","Office Supplies","Customer C1604","Online","2",NULL,"926.34","2"
"1704","2024-05-08","8","5","2024","2","Chair","Office Supplies","Customer C5024","Online","4",NULL,"276.68","4"
"1733","2023-04-20","20","4","2023","2","Chair","Office Supplies","Customer C1583","Online","4",NULL,"2305.40","5"
"1734","2024-02-23","23","2","2024","1","Chair","Office Supplies","Customer C4332","Online","3",NULL,"1953.33","2"
"1796","2023-05-15","15","5","2023","2","Chair","Office Supplies","Customer C8238","Online","3",NULL,"39.24","4"
"6","2023-04-11","11","4","2023","2","Chair","Office Supplies","Customer C7317","Gift Card","3",NULL,"629.37","1"
"93","2023-11-03","3","11","2023","4","Chair","Office Supplies","Customer C5271","Gift Card","4",NULL,"173.72","4"
"123","2024-03-26","26","3","2024","1","Chair","Office Supplies","Customer C1268","Gift Card","5",NULL,"160.60","2"
"129","2023-06-15","15","6","2023","2","Chair","Office Supplies","Customer C8269","Gift Card","7",NULL,"5539.17","2"
"219","2023-05-06","6","5","2023","2","Chair","Office Supplies","Customer C8469","Gift Card","5",NULL,"1814.45","2"
"222","2025-05-29","29","5","2025","2","Chair","Office Supplies","Customer C5216","Gift Card","5",NULL,"2201.10","1"
"242","2024-12-23","23","12","2024","4","Chair","Office Supplies","Customer C5410","Gift Card","8",NULL,"5705.68","5"
"243","2024-07-16","16","7","2024","3","Chair","Office Supplies","Customer C5007","Gift Card","3",NULL,"1792.05","1"
"322","2025-05-13","13","5","2025","2","Chair","Office Supplies","Customer C8933","Gift Card","6",NULL,"3167.46","2"
"323","2025-03-06","6","3","2025","1","Chair","Office Supplies","Customer C4037","Gift Card","5",NULL,"1533.85","4"
"359","2024-04-11","11","4","2024","2","Chair","Office Supplies","Customer C9606","Gift Card","3",NULL,"781.02","2"
"431","2024-08-13","13","8","2024","3","Chair","Office Supplies","Customer C3190","Gift Card","7",NULL,"135.94","2"
"440","2023-09-24","24","9","2023","3","Chair","Office Supplies","Customer C3732","Gift Card","7",NULL,"2033.15","1"
"483","2023-10-29","29","10","2023","4","Chair","Office Supplies","Customer C1296","Gift Card","4",NULL,"2392.48","5"
"484","2023-02-04","4","2","2023","1","Chair","Office Supplies","Customer C8751","Gift Card","5",NULL,"3228.00","1"
"604","2023-01-08","8","1","2023","1","Chair","Office Supplies","Customer C3679","Gift Card","4",NULL,"947.64","5"
"671","2023-06-24","24","6","2023","2","Chair","Office Supplies","Customer C1216","Gift Card","1",NULL,"580.23","4"
"695","2024-04-15","15","4","2024","2","Chair","Office Supplies","Customer C3251","Gift Card","7",NULL,"1130.15","4"
"711","2025-03-08","8","3","2025","1","Chair","Office Supplies","Customer C7816","Gift Card","8",NULL,"128.56","3"
"748","2023-12-22","22","12","2023","4","Chair","Office Supplies","Customer C8554","Gift Card","7",NULL,"3150.91","5"
"759","2023-10-01","1","10","2023","4","Chair","Office Supplies","Customer C4730","Gift Card","7",NULL,"5411.42","5"
"807","2025-01-06","6","1","2025","1","Chair","Office Supplies","Customer C3402","Gift Card","7",NULL,"1442.35","1"
"852","2024-09-15","15","9","2024","3","Chair","Office Supplies","Customer C8871","Gift Card","3",NULL,"769.50","1"
"867","2025-02-28","28","2","2025","1","Chair","Office Supplies","Customer C4160","Gift Card","1",NULL,"79.90","1"
"872","2023-04-25","25","4","2023","2","Chair","Office Supplies","Customer C5169","Gift Card","1",NULL,"147.34","1"
"992","2023-03-03","3","3","2023","1","Chair","Office Supplies","Customer C5554","Gift Card","5",NULL,"1589.95","4"
"1000","2023-08-18","18","8","2023","3","Chair","Office Supplies","Customer C4488","Gift Card","7",NULL,"4140.50","5"
"1067","2023-03-19","19","3","2023","1","Chair","Office Supplies","Customer C7855","Gift Card","6",NULL,"2555.52","1"
"1126","2025-01-16","16","1","2025","1","Chair","Office Supplies","Customer C8296","Gift Card","1",NULL,"283.80","5"
"1137","2024-01-12","12","1","2024","1","Chair","Office Supplies","Customer C5314","Gift Card","8",NULL,"3184.24","4"
"1150","2025-03-01","1","3","2025","1","Chair","Office Supplies","Customer C9176","Gift Card","6",NULL,"2638.14","2"
"1306","2023-02-21","21","2","2023","1","Chair","Office Supplies","Customer C5085","Gift Card","7",NULL,"1038.24","3"
"1320","2023-03-25","25","3","2023","1","Chair","Office Supplies","Customer C3845","Gift Card","4",NULL,"338.28","5"
"1344","2024-11-07","7","11","2024","4","Chair","Office Supplies","Customer C6997","Gift Card","5",NULL,"2680.75","2"
"1396","2023-12-16","16","12","2023","4","Chair","Office Supplies","Customer C3658","Gift Card","3",NULL,"1811.61","4"
"1420","2025-01-15","15","1","2025","1","Chair","Office Supplies","Customer C3431","Gift Card","1",NULL,"212.45","1"
"1436","2023-05-09","9","5","2023","2","Chair","Office Supplies","Customer C6915","Gift Card","1",NULL,"259.45","4"
"1462","2023-09-29","29","9","2023","3","Chair","Office Supplies","Customer C7355","Gift Card","8",NULL,"1088.96","3"
"1464","2024-01-23","23","1","2024","1","Chair","Office Supplies","Customer C4057","Gift Card","2",NULL,"902.64","2"
"1510","2023-12-14","14","12","2023","4","Chair","Office Supplies","Customer C8021","Gift Card","3",NULL,"82.47","2"
"1525","2024-07-03","3","7","2024","3","Chair","Office Supplies","Customer C3816","Gift Card","2",NULL,"477.04","1"
"1657","2024-04-22","22","4","2024","2","Chair","Office Supplies","Customer C3308","Gift Card","1",NULL,"214.93","2"
"1673","2024-07-23","23","7","2024","3","Chair","Office Supplies","Customer C7488","Gift Card","5",NULL,"2498.00","3"
"1682","2023-04-07","7","4","2023","2","Chair","Office Supplies","Customer C2162","Gift Card","7",NULL,"965.58","5"
"1698","2023-04-02","2","4","2023","2","Chair","Office Supplies","Customer C3078","Gift Card","6",NULL,"326.10","3"
"1750","2025-04-24","24","4","2025","2","Chair","Office Supplies","Customer C5903","Gift Card","2",NULL,"418.12","1"
"33","2023-07-28","28","7","2023","3","Chair","Office Supplies","Customer C3802","Debit Card","4",NULL,"1289.24","3"
"69","2023-06-29","29","6","2023","2","Chair","Office Supplies","Customer C4020","Debit Card","1",NULL,"324.92","3"
"159","2025-04-14","14","4","2025","2","Chair","Office Supplies","Customer C1785","Debit Card","3",NULL,"77.70","5"
"180","2024-01-02","2","1","2024","1","Chair","Office Supplies","Customer C2697","Debit Card","4",NULL,"2836.56","2"
"204","2024-07-20","20","7","2024","3","Chair","Office Supplies","Customer C3231","Debit Card","5",NULL,"574.60","1"
"304","2024-05-26","26","5","2024","2","Chair","Office Supplies","Customer C9511","Debit Card","5",NULL,"420.80","2"
"378","2025-04-18","18","4","2025","2","Chair","Office Supplies","Customer C6524","Debit Card","3",NULL,"81.84","1"
"379","2023-06-08","8","6","2023","2","Chair","Office Supplies","Customer C5336","Debit Card","6",NULL,"1292.40","5"
"389","2025-01-16","16","1","2025","1","Chair","Office Supplies","Customer C7132","Debit Card","5",NULL,"349.70","1"
"471","2023-02-28","28","2","2023","1","Chair","Office Supplies","Customer C8796","Debit Card","6",NULL,"752.76","5"
"480","2023-02-17","17","2","2023","1","Chair","Office Supplies","Customer C8727","Debit Card","3",NULL,"1731.39","3"
"495","2024-12-09","9","12","2024","4","Chair","Office Supplies","Customer C5933","Debit Card","7",NULL,"1209.39","4"
"505","2025-05-20","20","5","2025","2","Chair","Office Supplies","Customer C7058","Debit Card","3",NULL,"1618.32","1"
"537","2025-06-29","29","6","2025","2","Chair","Office Supplies","Customer C4604","Debit Card","4",NULL,"1268.52","3"
"567","2024-07-16","16","7","2024","3","Chair","Office Supplies","Customer C2461","Debit Card","5",NULL,"2249.55","4"
"577","2024-12-24","24","12","2024","4","Chair","Office Supplies","Customer C5586","Debit Card","4",NULL,"787.44","3"
"591","2024-07-07","7","7","2024","3","Chair","Office Supplies","Customer C7231","Debit Card","1",NULL,"127.54","4"
"597","2023-06-08","8","6","2023","2","Chair","Office Supplies","Customer C4597","Debit Card","8",NULL,"2947.04","3"
"621","2024-07-19","19","7","2024","3","Chair","Office Supplies","Customer C6498","Debit Card","2",NULL,"120.64","2"
"636","2024-10-24","24","10","2024","4","Chair","Office Supplies","Customer C6526","Debit Card","5",NULL,"210.05","1"
"641","2024-11-23","23","11","2024","4","Chair","Office Supplies","Customer C6164","Debit Card","8",NULL,"3588.40","1"
"673","2024-08-30","30","8","2024","3","Chair","Office Supplies","Customer C8372","Debit Card","4",NULL,"2419.08","5"
"734","2024-07-05","5","7","2024","3","Chair","Office Supplies","Customer C5331","Debit Card","4",NULL,"2091.56","4"
"764","2024-09-20","20","9","2024","3","Chair","Office Supplies","Customer C6636","Debit Card","4",NULL,"2836.16","2"
"806","2024-09-29","29","9","2024","3","Chair","Office Supplies","Customer C3059","Debit Card","2",NULL,"678.22","5"
"840","2023-12-15","15","12","2023","4","Chair","Office Supplies","Customer C5413","Debit Card","3",NULL,"614.79","3"
"864","2024-12-08","8","12","2024","4","Chair","Office Supplies","Customer C5623","Debit Card","7",NULL,"293.79","2"
"907","2023-11-13","13","11","2023","4","Chair","Office Supplies","Customer C1957","Debit Card","6",NULL,"3965.04","3"
"935","2024-01-12","12","1","2024","1","Chair","Office Supplies","Customer C7272","Debit Card","3",NULL,"242.10","1"
"939","2023-11-08","8","11","2023","4","Chair","Office Supplies","Customer C2357","Debit Card","2",NULL,"898.42","4"
"1006","2024-02-23","23","2","2024","1","Chair","Office Supplies","Customer C3207","Debit Card","7",NULL,"4262.93","5"
"1041","2023-01-03","3","1","2023","1","Chair","Office Supplies","Customer C3455","Debit Card","8",NULL,"1014.80","1"
"1109","2023-01-10","10","1","2023","1","Chair","Office Supplies","Customer C1359","Debit Card","5",NULL,"1711.90","1"
"1116","2024-08-16","16","8","2024","3","Chair","Office Supplies","Customer C6547","Debit Card","5",NULL,"1941.05","3"
"1120","2023-02-16","16","2","2023","1","Chair","Office Supplies","Customer C2105","Debit Card","4",NULL,"2525.76","1"
"1130","2023-07-30","30","7","2023","3","Chair","Office Supplies","Customer C8484","Debit Card","5",NULL,"2507.25","2"
"1187","2023-03-19","19","3","2023","1","Chair","Office Supplies","Customer C5017","Debit Card","6",NULL,"2567.94","1"
"1195","2023-06-16","16","6","2023","2","Chair","Office Supplies","Customer C5431","Debit Card","4",NULL,"1649.12","4"
"1226","2024-02-21","21","2","2024","1","Chair","Office Supplies","Customer C4706","Debit Card","6",NULL,"2908.38","3"
"1239","2023-01-01","1","1","2023","1","Chair","Office Supplies","Customer C1837","Debit Card","3",NULL,"1098.30","2"
"1395","2024-04-15","15","4","2024","2","Chair","Office Supplies","Customer C7248","Debit Card","6",NULL,"1668.24","3"
"1402","2024-05-18","18","5","2024","2","Chair","Office Supplies","Customer C1547","Debit Card","2",NULL,"614.78","3"
"1433","2024-05-11","11","5","2024","2","Chair","Office Supplies","Customer C4142","Debit Card","3",NULL,"1255.38","3"
"1472","2025-01-31","31","1","2025","1","Chair","Office Supplies","Customer C4222","Debit Card","5",NULL,"1120.55","1"
"1494","2024-10-05","5","10","2024","4","Chair","Office Supplies","Customer C6344","Debit Card","6",NULL,"333.36","4"
"1523","2023-02-14","14","2","2023","1","Chair","Office Supplies","Customer C7900","Debit Card","6",NULL,"2236.08","2"
"1566","2024-12-08","8","12","2024","4","Chair","Office Supplies","Customer C9579","Debit Card","8",NULL,"5740.16","3"
"1601","2024-10-20","20","10","2024","4","Chair","Office Supplies","Customer C8515","Debit Card","5",NULL,"1720.50","3"
"1619","2024-04-05","5","4","2024","2","Chair","Office Supplies","Customer C6738","Debit Card","6",NULL,"1324.38","3"
"1633","2023-06-03","3","6","2023","2","Chair","Office Supplies","Customer C8889","Debit Card","3",NULL,"2192.49","5"
"1634","2023-05-16","16","5","2023","2","Chair","Office Supplies","Customer C6194","Debit Card","4",NULL,"2425.12","5"
"1664","2025-06-18","18","6","2025","2","Chair","Office Supplies","Customer C2747","Debit Card","6",NULL,"3198.60","1"
"1666","2024-01-04","4","1","2024","1","Chair","Office Supplies","Customer C8564","Debit Card","6",NULL,"1845.90","3"
"1694","2024-01-26","26","1","2024","1","Chair","Office Supplies","Customer C8319","Debit Card","2",NULL,"1435.22","2"
"1700","2023-07-03","3","7","2023","3","Chair","Office Supplies","Customer C7726","Debit Card","8",NULL,"2386.40","2"
"1724","2024-10-26","26","10","2024","4","Chair","Office Supplies","Customer C6106","Debit Card","1",NULL,"55.74","1"
"3","2023-06-25","25","6","2023","2","Chair","Office Supplies","Customer C7704","Credit Card","5",NULL,"3172.55","4"
"8","2023-08-16","16","8","2023","3","Chair","Office Supplies","Customer C5181","Credit Card","8",NULL,"2191.36","2"
"23","2024-01-03","3","1","2024","1","Chair","Office Supplies","Customer C4788","Credit Card","2",NULL,"1498.64","3"
"64","2023-10-03","3","10","2023","4","Chair","Office Supplies","Customer C7466","Credit Card","7",NULL,"3626.00","2"
"105","2023-11-06","6","11","2023","4","Chair","Office Supplies","Customer C7363","Credit Card","2",NULL,"1540.12","5"
"212","2024-08-31","31","8","2024","3","Chair","Office Supplies","Customer C9965","Credit Card","5",NULL,"2207.60","1"
"260","2023-06-14","14","6","2023","2","Chair","Office Supplies","Customer C9693","Credit Card","5",NULL,"1536.30","5"
"263","2025-05-21","21","5","2025","2","Chair","Office Supplies","Customer C3285","Credit Card","4",NULL,"1863.88","5"
"275","2023-02-14","14","2","2023","1","Chair","Office Supplies","Customer C4446","Credit Card","6",NULL,"3662.16","2"
"281","2024-07-27","27","7","2024","3","Chair","Office Supplies","Customer C4715","Credit Card","2",NULL,"1355.00","3"
"333","2024-06-07","7","6","2024","2","Chair","Office Supplies","Customer C2026","Credit Card","2",NULL,"287.74","1"
"337","2023-06-06","6","6","2023","2","Chair","Office Supplies","Customer C1280","Credit Card","1",NULL,"754.33","4"
"342","2025-02-26","26","2","2025","1","Chair","Office Supplies","Customer C1170","Credit Card","6",NULL,"940.68","2"
"421","2023-02-28","28","2","2023","1","Chair","Office Supplies","Customer C1728","Credit Card","8",NULL,"880.40","1"
"461","2023-06-22","22","6","2023","2","Chair","Office Supplies","Customer C8220","Credit Card","6",NULL,"1088.88","1"
"470","2024-12-18","18","12","2024","4","Chair","Office Supplies","Customer C1765","Credit Card","3",NULL,"1649.34","3"
"524","2024-12-16","16","12","2024","4","Chair","Office Supplies","Customer C2191","Credit Card","6",NULL,"2376.36","3"
"561","2025-03-11","11","3","2025","1","Chair","Office Supplies","Customer C8327","Credit Card","6",NULL,"4234.44","3"
"568","2025-02-18","18","2","2025","1","Chair","Office Supplies","Customer C3383","Credit Card","5",NULL,"1954.85","4"
"569","2024-03-03","3","3","2024","1","Chair","Office Supplies","Customer C1517","Credit Card","6",NULL,"4002.36","2"
"590","2024-10-30","30","10","2024","4","Chair","Office Supplies","Customer C6029","Credit Card","7",NULL,"2060.10","2"
"595","2024-03-19","19","3","2024","1","Chair","Office Supplies","Customer C2102","Credit Card","1",NULL,"237.20","5"
"600","2024-12-31","31","12","2024","4","Chair","Office Supplies","Customer C5039","Credit Card","6",NULL,"2118.66","5"
"631","2023-01-01","1","1","2023","1","Chair","Office Supplies","Customer C2029","Credit Card","5",NULL,"1680.85","1"
"637","2025-02-12","12","2","2025","1","Chair","Office Supplies","Customer C7287","Credit Card","2",NULL,"346.52","2"
"665","2025-01-18","18","1","2025","1","Chair","Office Supplies","Customer C7557","Credit Card","7",NULL,"2014.46","4"
"683","2023-12-12","12","12","2023","4","Chair","Office Supplies","Customer C7163","Credit Card","5",NULL,"3695.65","4"
"752","2024-04-11","11","4","2024","2","Chair","Office Supplies","Customer C4367","Credit Card","6",NULL,"2721.42","1"
"776","2025-06-05","5","6","2025","2","Chair","Office Supplies","Customer C9093","Credit Card","4",NULL,"2846.68","5"
"873","2024-03-31","31","3","2024","1","Chair","Office Supplies","Customer C5027","Credit Card","6",NULL,"1153.02","2"
"919","2023-08-18","18","8","2023","3","Chair","Office Supplies","Customer C5119","Credit Card","5",NULL,"772.40","5"
"943","2023-01-14","14","1","2023","1","Chair","Office Supplies","Customer C6377","Credit Card","4",NULL,"2264.92","3"
"960","2023-08-08","8","8","2023","3","Chair","Office Supplies","Customer C6431","Credit Card","6",NULL,"3952.20","2"
"978","2024-01-25","25","1","2024","1","Chair","Office Supplies","Customer C8723","Credit Card","8",NULL,"2611.84","5"
"1058","2023-02-17","17","2","2023","1","Chair","Office Supplies","Customer C5607","Credit Card","5",NULL,"909.60","4"
"1075","2024-10-01","1","10","2024","4","Chair","Office Supplies","Customer C2564","Credit Card","4",NULL,"1627.40","5"
"1086","2023-08-22","22","8","2023","3","Chair","Office Supplies","Customer C6918","Credit Card","1",NULL,"521.99","5"
"1094","2023-11-19","19","11","2023","4","Chair","Office Supplies","Customer C3205","Credit Card","2",NULL,"1233.20","5"
"1177","2023-02-27","27","2","2023","1","Chair","Office Supplies","Customer C3690","Credit Card","5",NULL,"637.25","4"
"1227","2025-02-24","24","2","2025","1","Chair","Office Supplies","Customer C4347","Credit Card","3",NULL,"1801.02","4"
"1237","2025-03-06","6","3","2025","1","Chair","Office Supplies","Customer C2728","Credit Card","4",NULL,"2144.92","4"
"1240","2023-03-17","17","3","2023","1","Chair","Office Supplies","Customer C9898","Credit Card","8",NULL,"3471.92","3"
"1250","2024-07-04","4","7","2024","3","Chair","Office Supplies","Customer C5421","Credit Card","7",NULL,"1940.68","4"
"1257","2024-02-05","5","2","2024","1","Chair","Office Supplies","Customer C4420","Credit Card","2",NULL,"472.28","2"
"1303","2023-11-17","17","11","2023","4","Chair","Office Supplies","Customer C2950","Credit Card","1",NULL,"757.24","2"
"1325","2025-04-06","6","4","2025","2","Chair","Office Supplies","Customer C3813","Credit Card","8",NULL,"5210.96","3"
"1342","2025-03-06","6","3","2025","1","Chair","Office Supplies","Customer C4555","Credit Card","7",NULL,"808.08","1"
"1457","2025-01-14","14","1","2025","1","Chair","Office Supplies","Customer C4906","Credit Card","5",NULL,"1836.70","5"
"1461","2024-07-01","1","7","2024","3","Chair","Office Supplies","Customer C2081","Credit Card","4",NULL,"2795.60","4"
"1477","2024-05-12","12","5","2024","2","Chair","Office Supplies","Customer C3517","Credit Card","8",NULL,"4299.60","2"
"1497","2023-05-10","10","5","2023","2","Chair","Office Supplies","Customer C5767","Credit Card","1",NULL,"401.55","4"
"1625","2025-03-30","30","3","2025","1","Chair","Office Supplies","Customer C3990","Credit Card","4",NULL,"1112.60","2"
"1631","2024-03-30","30","3","2024","1","Chair","Office Supplies","Customer C1435","Credit Card","7",NULL,"4749.43","3"
"1641","2023-01-15","15","1","2023","1","Chair","Office Supplies","Customer C2867","Credit Card","6",NULL,"3626.58","1"
"1678","2025-03-15","15","3","2025","1","Chair","Office Supplies","Customer C4790","Credit Card","2",NULL,"555.52","5"
"1741","2023-07-19","19","7","2023","3","Chair","Office Supplies","Customer C5477","Credit Card","6",NULL,"1362.84","1"
"1761","2024-09-07","7","9","2024","3","Chair","Office Supplies","Customer C2929","Credit Card","8",NULL,"4516.40","2"
"72","2024-02-22","22","2","2024","1","Chair","Office Supplies","Customer C7102","Cash","3",NULL,"718.65","4"
"98","2025-04-20","20","4","2025","2","Chair","Office Supplies","Customer C7641","Cash","6",NULL,"1418.28","4"
"100","2023-01-14","14","1","2023","1","Chair","Office Supplies","Customer C3756","Cash","7",NULL,"5382.93","2"
"106","2023-03-07","7","3","2023","1","Chair","Office Supplies","Customer C9590","Cash","6",NULL,"779.10","1"
"121","2023-07-04","4","7","2023","3","Chair","Office Supplies","Customer C7113","Cash","3",NULL,"2297.13","2"
"127","2025-04-19","19","4","2025","2","Chair","Office Supplies","Customer C6177","Cash","3",NULL,"743.97","5"
"128","2025-03-24","24","3","2025","1","Chair","Office Supplies","Customer C8133","Cash","1",NULL,"304.00","3"
"175","2025-06-21","21","6","2025","2","Chair","Office Supplies","Customer C6147","Cash","6",NULL,"709.50","2"
"273","2025-01-04","4","1","2025","1","Chair","Office Supplies","Customer C3505","Cash","3",NULL,"1889.34","4"
"361","2023-02-21","21","2","2023","1","Chair","Office Supplies","Customer C8417","Cash","8",NULL,"4031.68","5"
"409","2024-05-03","3","5","2024","2","Chair","Office Supplies","Customer C1014","Cash","6",NULL,"448.80","5"
"502","2024-04-28","28","4","2024","2","Chair","Office Supplies","Customer C3498","Cash","5",NULL,"461.85","5"
"529","2024-11-12","12","11","2024","4","Chair","Office Supplies","Customer C4118","Cash","3",NULL,"1696.89","3"
"594","2024-12-08","8","12","2024","4","Chair","Office Supplies","Customer C1391","Cash","4",NULL,"1645.40","2"
"608","2023-10-28","28","10","2023","4","Chair","Office Supplies","Customer C4465","Cash","5",NULL,"2176.00","4"
"663","2023-08-18","18","8","2023","3","Chair","Office Supplies","Customer C4332","Cash","1",NULL,"247.15","1"
"699","2023-10-26","26","10","2023","4","Chair","Office Supplies","Customer C3458","Cash","4",NULL,"1819.92","3"
"701","2023-05-25","25","5","2023","2","Chair","Office Supplies","Customer C6607","Cash","4",NULL,"2481.36","2"
"754","2023-08-02","2","8","2023","3","Chair","Office Supplies","Customer C2063","Cash","2",NULL,"367.06","5"
"772","2025-02-21","21","2","2025","1","Chair","Office Supplies","Customer C8257","Cash","7",NULL,"544.53","5"
"794","2023-11-05","5","11","2023","4","Chair","Office Supplies","Customer C1909","Cash","1",NULL,"475.81","3"
"931","2024-06-06","6","6","2024","2","Chair","Office Supplies","Customer C8338","Cash","8",NULL,"4974.00","2"
"987","2024-12-25","25","12","2024","4","Chair","Office Supplies","Customer C9813","Cash","6",NULL,"2445.48","4"
"1008","2024-09-11","11","9","2024","3","Chair","Office Supplies","Customer C8577","Cash","8",NULL,"4570.64","2"
"1018","2024-04-28","28","4","2024","2","Chair","Office Supplies","Customer C7521","Cash","3",NULL,"1810.20","4"
"1025","2023-02-10","10","2","2023","1","Chair","Office Supplies","Customer C6843","Cash","7",NULL,"4975.60","1"
"1035","2025-05-09","9","5","2025","2","Chair","Office Supplies","Customer C3152","Cash","8",NULL,"6311.28","1"
"1071","2023-05-27","27","5","2023","2","Chair","Office Supplies","Customer C5435","Cash","5",NULL,"1494.75","5"
"1083","2024-07-22","22","7","2024","3","Chair","Office Supplies","Customer C2109","Cash","1",NULL,"638.11","1"
"1129","2024-06-12","12","6","2024","2","Chair","Office Supplies","Customer C5834","Cash","4",NULL,"653.96","5"
"1173","2024-10-12","12","10","2024","4","Chair","Office Supplies","Customer C6744","Cash","1",NULL,"102.17","5"
"1218","2025-04-01","1","4","2025","2","Chair","Office Supplies","Customer C5663","Cash","4",NULL,"927.68","3"
"1231","2024-04-12","12","4","2024","2","Chair","Office Supplies","Customer C6812","Cash","8",NULL,"1221.68","4"
"1407","2023-04-21","21","4","2023","2","Chair","Office Supplies","Customer C3111","Cash","7",NULL,"1616.16","5"
